id,prompt,input,output,formatting_score
1,rewrite_zero_shot.txt,your app keeps crashing whenever i try to upload a file. fix this asap.,I’m encountering crashes every time I try to upload a file. Could you please investigate and resolve this issue at your earliest convenience?,1
2,rewrite_zero_shot.txt,i was charged twice for the same order and i want my money back.,I was charged twice for the same order and would appreciate a refund.,1
3,rewrite_zero_shot.txt,the report is wrong again. your system is showing numbers that don't match ours.,I’ve noticed that the report appears to be incorrect again; the figures displayed by your system do not match our records.,1
4,rewrite_zero_shot.txt,why has nobody replied to my support ticket? i sent it three days ago.,I submitted a support ticket three days ago and have not yet received a response. Could you please let me know its current status?,1
5,rewrite_zero_shot.txt,i forgot my password and the reset email never came.,I forgot my password and have not received the reset email.,1
6,rewrite_zero_shot.txt,the delivery was supposed to come yesterday but it still hasn't arrived.,"I was expecting the delivery to arrive yesterday, but it has not yet arrived.",1
7,rewrite_zero_shot.txt,i need to cancel my subscription because i don't use the service anymore.,"I would like to cancel my subscription, as I no longer use the service.",1
8,rewrite_zero_shot.txt,the website is very slow and sometimes the payment page doesn't load.,"I have noticed that the website is running slowly, and at times the payment page fails to load.",1
9,rewrite_zero_shot.txt,this is the worst service ever. i have been waiting forever.,I am disappointed with the service; I have been waiting for an extended period.,1
10,rewrite_zero_shot.txt,I don't understand why I need to verify my identity again.,Could you please explain why I am required to verify my identity again?,1
1,rewrite_few_shot.txt,your app keeps crashing whenever i try to upload a file. fix this asap.,I am experiencing crashes each time I attempt to upload a file. Could you please investigate and help resolve this issue?,1
2,rewrite_few_shot.txt,i was charged twice for the same order and i want my money back.,I noticed that I was charged twice for the same order. Could you please review the duplicate charge and help me with a refund?,1
3,rewrite_few_shot.txt,the report is wrong again. your system is showing numbers that don't match ours.,I have noticed that the report generated by your system contains discrepancies that do not match our data. Could you please investigate and correct the issue?,1
4,rewrite_few_shot.txt,why has nobody replied to my support ticket? i sent it three days ago.,"I am following up on my support ticket, as I have not yet received a response. Could you please provide an update?",1
5,rewrite_few_shot.txt,i forgot my password and the reset email never came.,I forgot my password and did not receive the reset email. Could you please help me reset my password?,1
6,rewrite_few_shot.txt,the delivery was supposed to come yesterday but it still hasn't arrived.,"My delivery was expected yesterday, but it has not yet arrived. Could you please provide an update on its status?",1
7,rewrite_few_shot.txt,i need to cancel my subscription because i don't use the service anymore.,I would like to cancel my subscription as I no longer use the service. Could you please assist me with the cancellation process?,1
8,rewrite_few_shot.txt,the website is very slow and sometimes the payment page doesn't load.,"I have noticed that the website is running slowly, and occasionally the payment page fails to load. Could you please investigate this issue?",1
9,rewrite_few_shot.txt,this is the worst service ever. i have been waiting forever.,I have been waiting for a long time and am disappointed with the service. Could you please provide an update?,1
10,rewrite_few_shot.txt,I don't understand why I need to verify my identity again.,I am unsure why I am required to verify my identity again. Could you please explain the reason?,1
